block,transect,year,visit,code,common.name,genus,species,quadrant,distance
1,1,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,1,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
1,1,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,1,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
1,1,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
1,1,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,1,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,1,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,1,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,1,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
1,1,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,1,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
1,1,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,1,2008,2,B-WEME,Western Meadowlark,Sturnella,neglecta,1,50
1,1,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,4,100
1,1,2008,5,B-WEME,Western Meadowlark,Sturnella,neglecta,4,75
1,2,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,3,50
1,2,2008,2,B-SASP,Savannah Sparrow,Passerculus,sandwichensis,4,75
1,2,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,2,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,2,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
1,2,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
1,2,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,2,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
1,2,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,50
1,2,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,2,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,2,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,75
1,2,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,2,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,2,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,2,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
1,2,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
1,2,2008,5,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
1,3,2008,1,B-OCWA,Orange-crowned Warbler,Oreothlypis,celata,4,150
1,3,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,3,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,3,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
1,3,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,75
1,3,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,3,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
1,3,2008,2,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
1,3,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
1,3,2008,5,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
1,4,2008,4,B-AMRO,American Robin,Turdus,migratorius,4,150
1,5,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,2,75
1,5,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,5,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,5,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
